cd_name,description
CD134,"Tumor necrosis factor receptor superfamily member 4 (TNFRSF4), also known as OX40; a T-cell secondary costimulatory molecule which enhances proliferation, cytokine production and survival; its ligand OX40L, or CD252, binds to OX40 receptors on T-cells, preventing them from dying and subsequently increasing cytokine production. Without CD28, OX40 expression is delayed and reduced. OX40 also binds TRAF2, 3 and 5 and PI3K. OX40 gene mutations can cause a type of immunodeficiency. Roche has an experimental monoclonal antibody in development that targets OX40 (RG7888); anti-OX40 functions as an agonist antibody, which results in activation rather than blockade of the OX40 signaling pathway upon receptor binding; Medimmune AstraZeneca is developing 3 drugs targeting OX40 in colorectal, prostate, breast, and head and neck cancers; MEDI6383, MEDI0562, and MEDI6469"
CD135,Also known as fms-like tyrosine kinase receptor-3 (Flt3) or fetal liver kinase-2 (Flk2); A cytokine receptor for Flt3 ligand (Flt3L) important in early hematopoiesis. Gene may be involved in acute myelogenous leukemia (AML).
CD136,"Macrophage-stimulating protein receptor, (MST1R gene); binds to MST1 ligand;"
CD137,"Tumor necrosis factor receptor superfamily member 9 (TNFRSF9), a member of the tumor necrosis factor (TNF) receptor family, also known as 4-1BB and Induced by Lymphocyte Activation (ILA). Targeted by Bristol Myers' Urelumab, a CD137 agonist antibody, in early trials with anti-PDL1 (CD274) mAbs; activating CD137 stimulates an immune response, in particular a cytotoxic T cell response, against tumor cells, though liver toxicity can be a problematic side effect. Pfizer also has an early-stage 4-1BB agonist (Utomilumab PF-2566) in combination trials, and Pieris is trialling PRS-343, a CD137 - HER2 bispecific (2016).&#91;6&#93;"
CD138,"a plasma cell-surface glycoprotein, known as syndecan-1. Syndecan functions as the alpha receptor for collagen, fibronectin and thrombospondin."
CD139,"(listed on HCDM as: not cloned, but monoclonal antibody ""BU30"" exists)"
CD140A,"also known as Platelet-derived growth factor receptor, alpha (PDGFRA); a protein in humans encoded by PDGFRA gene. A cell surface tyrosine kinase receptor for members of the platelet-derived growth factor family. Lilly has developed Olaratumab, (LY3012207) a human IgG1 monoclonal antibody designed to bind to human PDGFRα with high affinity and block PDGF-AA, PDGF-BB, and PDGF-CC ligands from binding to the receptor and is conducting clinical trials in patients with soft-tissue sarcoma.&#91;7&#93;"
CD140B,"also known as Platelet-derived growth factor receptor, beta (PDGFRB); a protein in humans encoded by PDGFRB gene. A cell surface tyrosine kinase receptor for members of the platelet-derived growth factor family."
CD141,"Thrombomodulin or BDCA-3, an integral membrane protein. On endothelial cells, it is involved in anticoagulation. It also occurs, with unknown function, on a very rare subtype of dendritic cells."
CD142,"Tissue factor, a major initiator of blood-clotting"
CD143,Angiotensin-converting enzyme
CD144,"VE-Cadherin, a calcium-dependent adhesion molecule at intercellular junctions, found mainly in the vascular endothelium. Recent research indicates that CD144 may be present on some leucocytes as well."
CDw145,"(listed on HCDM as: not cloned, but two antibodies exist)"
CD146,"Cell surface glycoprotein MUC18; encoded by MCAM (Melanoma cell adhesion molecule) gene; expression may allow melanoma cells to interact with cellular elements of vascular system, thus enhancing tumor spread"
CD147,Neurothelin. An extracellular matrix metalloproteinase inducer.
CD148,Receptor-type tyrosine-protein phosphatase eta; encoded by PTPRJ gene;
CD150,Signaling lymphocytic activation molecule; encoded by SLAMF1 gene; important in bidirectional T-cell to B-cell stimulation; acts as a receptor for measles virus
CD151,"Tetraspanin with a wide tissue distribution, including platelets, Megakaryocytes, Granulocytes and erythroleukemia."
CD152,"Also called Cytotoxic T-lymphocyte antigen-4 (CTLA-4). Expressed in CD4+ T Lymphocytes but also found in some B Lymphocytes. Binds to CD80 and CD86 receptors with a higher affinity than CD28, and inhibits T cell activation. Targeted by drugs such as Ipilimumab for melanoma and other cancers."
CD153,Tumor necrosis factor ligand superfamily member 8; encoded by TNFSF8 gene; CD30 ligand; induces proliferation of T-cells.
CD154,"The ligand for CD40. This is a costimulatory molecule that plays many roles, best known for activating B cells but also known to induce the activation of an APC in association with T cell receptor stimulation by MHC molecules on the APC."
CD155,"The poliovirus receptor, a protein that in humans that is encoded by the PVR gene. Also known as Necl5."
CD156*,A member of A Disintegrin And Metalloprotease family
CD156a,Disintegrin and metalloproteinase domain-containing protein 8; encoded by ADAM8 gene
CD156b,Disintegrin and metalloproteinase domain-containing protein 17; encoded by ADAM17 gene
CD156c,Disintegrin and metalloproteinase domain-containing protein 10; encoded by ADAM10 gene
CD157,BST1 Bone marrow stromal cell antigen-1 is a stromal cell line-derived glycosylphosphatidylinositol-anchored molecule that facilitates pre-B-cell growth. The deduced amino acid sequence exhibits 33% similarity with CD38. BST1 expression is enhanced in bone marrow stromal cell lines derived from patients with rheumatoid arthritis.
CD158*,"Killer cell immunoglobulin-like receptors (KIR) with two extracellular domains, variously expressed on NK cells. CD158a is KIR2DL1, CD158b is KIR2DL3, CD158d is KIR2DL4. Innate and Bristol Myers are testing monoclonal antibody Lirilumab, which binds to KIR2DL1 (CD158A) and KIR2DL2/3, thus blocking the interaction of KIR receptors with their HLA-C ligands, and preventing the inhibitory signal triggered by this interaction. Thus the cytotoxicity of NK cells is enhanced."
CD158A,Killer cell immunoglobulin-like receptor 2DL1; encoded by KIR2DL1 gene; receptor on natural killer cells for HLA-C alleles; inhibits the activity of NK cells thus preventing cell lysis.
CD158B1,"Killer cell immunoglobulin-like receptor 2DL2; encoded by KIR2DL2 gene; receptor on NK cells for HLA-Cw1, 3, 7, and 8 allotypes; inhibits activity of NK cells thus preventing cell lysis"
CD158B2,Killer cell immunoglobulin-like receptor 2DL3; encoded by KIR2DL3 gene; receptor on natural killer cells for HLA-C alleles; inhibits activity of NK cells thus preventing cell lysis
CD158C,Putative killer cell immunoglobulin-like receptor like protein KIR3DP1; encoded by KIR3DP1 gene; expressed in peripheral blood cells
CD158D,Killer cell immunoglobulin-like receptor 2DL4; encoded by KIR2DL4 gene; receptor on NK cells for HLA-C alleles; inhibits NK cell activity thus prevents cell lysis.
CD158E1,Killer cell immunoglobulin-like receptor 3DL1; encoded by KIR3DL1 gene; receptor on natural killer (NK) cells for HLA Bw4 allele; inhibits NK cell activity thus prevents cell lysis.
CD158E2,Killer cell immunoglobulin-like receptor 3DS1; encoded by KIR3DS1 gene; receptor on natural killer (NK) cells for HLA-C alleles; does not inhibit activity of NK cells.
CD158F1,Killer cell immunoglobulin-like receptor 2DL5A; encoded by KIR2DL5A gene; inhibits NK cell activity thus prevents cell lysis. **
CD158F2,Killer cell immunoglobulin-like receptor 2DL5B; encoded by KIR2DL5B gene; inhibits NK cell activity thus prevents cell lysis. **
CD158G,Killer cell immunoglobulin-like receptor 2DS5; encoded by KIR2DS5 gene; receptor on natural killer (NK) cells for HLA-C alleles; does not inhibit activity of NK cells.
CD158H,Killer cell immunoglobulin-like receptor 2DS1; encoded by KIR2DS1 gene; receptor on natural killer (NK) cells for HLA-C alleles; does not inhibit activity of NK cells.
CD158I,Killer cell immunoglobulin-like receptor 2DS4; encoded by KIR2DS4 gene; receptor on natural killer (NK) cells for HLA-C alleles; does not inhibit activity of NK cells.
CD158J,Killer cell immunoglobulin-like receptor 2DS2; encoded by KIR2DS2 gene; receptor on natural killer (NK) cells for HLA-C alleles; does not inhibit activity of NK cells.
CD158K,Killer cell immunoglobulin-like receptor 3DL2; encoded by KIR3DL2 gene; receptor on natural killer (NK) cells for HLA-A alleles; inhibits activity of NK cells thus prevents cell lysis
CD159a,NKG2-A/NKG2-B type II integral membrane protein; encoded by KLRC1 gene; receptor for recognition of MHC class I HLA-E molecules by NK cells and some cytotoxic T-cells
CD159c,NKG2-C type II integral membrane protein; encoded by KLRC2 gene
CD160,"CD160 expression is tightly associated with peripheral blood NK cells and CD8 T lymphocytes with cytolytic effector activity. In tissues, CD160 is expressed on all intestinal intraepithelial lymphocytes. CD160 shows a broad specificity for binding to both classical and nonclassical MHC class I molecules."
CD161,Killer cell lectin-like receptor subfamily B member 1; encoded by KLRB1 gene; inhibitory role in natural killer cell cytotoxicity
CD162,P-selectin glycoprotein ligand 1; encoded by SELPLG gene; also receptor for enterovirus 71
CD163,M130; HbSR; RM3/1 antigen. A glycoprotein endocytic scavenger receptor for haptoglobin-hemoglobin complexes. Found specifically on monocytes/macrophages and some dendritic cells. Involved in anti-inflammatory processes. Soluble form shed upon Toll-like receptor activation.
CD164,"Sialomucin core protein 24 (MUC24) or endolyn; encoded by CD164 gene; implicated in hematopoiesis, prostate cancer metastasis and infiltration of bone marrow by cancer cells"
CD165,"SN2, cell surface glycoprotein used to monitor platelet function; strongly expressed on T cell type acute lymphoblastic cells and most platelets"
CD166,activated leukocyte cell adhesion molecule (ALCAM); ligand for CD6 and involved in neurite extension
CD167a,"Epithelial discoidin domain-containing receptor 1, encoded by DDR1 gene; tyrosine kinase that functions as cell surface receptor for fibrillar collagen; abundant in some carcinomas;"
CD167b,"Discoidin domain-containing receptor 2, encoded by DDR2 gene; tyrosine kinase that functions as cell surface receptor for fibrillar collagen and regulates cell differentiation, remodeling of the extracellular matrix, cell migration and cell proliferation. Required for normal bone development; mutations in gene can cause a form of dwarfism."
CD168,"Hyaluronan mediated motility receptor (RHAMM), encoded by HMMR gene; over expressed in some cancers."
CD169,Sialoadhesin&#91;8&#93; (SN); encoded by SIGLEC1 gene; a cell adhesion protein on macrophages that binds to sialic acids
CD170,Sialic acid-binding Ig-like lectin 5 or SIGLEC5; putative adhesion molecule that mediates sialic-acid dependent binding to cells
CD171,"Neural cell adhesion molecule L1, encoded by L1CAM gene; cell adhesion molecule with important role in development of nervous system; involved in neuron-neuron adhesion, neurite fasciculation, outgrowth of neurites, etc. Binds to axonin on neurons. Gene mutations can cause hydrocephalus. Juno Therapeutics has an experimental anti-CD171 CAR-T therapy in development to treat Neuroblastoma."
CD172a,"Tyrosine-protein phosphatase non-receptor type substrate 1, also known as SIRPa (Signal Regulatory Protein Alpha); acts as inhibitory transmembrane receptor with CD47 resulting in inhibition of phagocytosis (""don't eat me""), stimulation of cell-cell fusion, and T-cell activation. Component of SIRPaFc, an experimental drug aimed at AML"
CD172b,"Signal-regulatory protein beta-1, encoded by SIRPB1 gene. Immunoglobulin-like cell surface receptor involved in the negative regulation of receptor tyrosine kinase-coupled signaling processes. Participates also in the recruitment of tyrosine kinase SYK."
CD172g,"Signal-regulatory protein gamma (or beta-2), encoded by SIRPG or SIRPB2 gene. Binds with CD47."
CD173,Blood Group H&#91;9&#93;
CD174,"Fucosyltransferase 3 (Lewis FT), enzyme encoded by FUT3 gene; may be involved in blood group Lewis determination"
CD175,Tn antigen&#91;10&#93;
CD175s,Sialyl-Tn antigen&#91;11&#93; (STN)
CD176,TF&#91;12&#93; or Thomsen–Friedenreich antigen is a disaccharide found on cell surfaces and released into circulation in many cancers.
CD177,"CD177 antigen expressed by CD177 gene; also polycythemia rubra vera 1 (PRV1) or NB1 glycoprotein (NB1 GP). Highly expressed in normal bone marrow, also in granulocytes of patients with polycythemia vera (PV) and with essential thrombocythemia (ET)"
CD178,Fas ligand (FasL) is a type-II transmembrane protein belonging to the tumor necrosis factor (TNF) family. Its binding with its receptor Fas (CD95) induces apoptosis. Fas ligand/receptor interactions play an important role in the regulation of the immune system and the progression of cancer.
CD179a,"Immunoglobulin iota chain, encoded by VPREB1 gene; associates with Ig-mu chain to form complex expressed on surface of pre-B-cells; presumably regulates Ig gene rearrangements during B-cell differentiation."
CD179b,"Immunoglobulin lambda-like polypeptide 1, encoded by IGLL1 gene; critical for B-cell development"
CD180,"CD180 antigen or LY64, encoded by CD180 gene; may cooperate with MD-1 and TLR4 to mediate innate immune response to bacterial lipopolysaccharide in B-cells"
CD181,"CXC chemokine receptor type 1, encoded by CXCR1 gene (old name IL8RA); receptor to interleukin-8. Blocking CXCR1 can inhibit some cancers"
CD182,"CXC chemokine receptor type 2, encoded by CXCR2 gene (old name IL8RB); receptor for interleukin-8"
CD183,"CXC chemokine receptor type 3, encoded by CXCR3 gene; receptor for CXCL9, CXCL10 and CXCL11 and mediates the proliferation, survival and angiogenic activity of human mesangial cells; implicated in a wide variety of diseases"
CD184,"CXC chemokine receptor type 4, encoded by CXCR4 gene; receptor for chemokine Stromal Derived Factor 1 (CXCL12 or SDF-1); involved in mesenchymal stem cell homing and migration; acts as a coreceptor (with CD4) for HIV-1"
CD185,"CXC chemokine receptor type 5, encoded by CXCR5 (or Burkitt lymphoma receptor 1, BLR1) gene; may have a regulatory function in Burkitt lymphoma"
CD186,"CXC chemokine receptor type 6, encoded by CXCR6 gene; a G-protein-coupled receptor for the chemokine CXCL16; used as a coreceptor by SIVs and strains of HIV-2 and m-tropic HIV-1"
CD187,not assigned
CD188,not assigned
CD189,not assigned
CD190,not assigned
CD191,"CC chemokine receptor type 1, also Macrophage inflammatory protein 1-alpha receptor, encoded by CCR1 gene; affects stem cell proliferation"
CD192,"CC chemokine receptor type 2, encoded by CCR2 gene; receptor for CCL2, CCL7 and CCL13 chemokines; alternative coreceptor with CD4 for HIV-1 infection"
CD193,"CC chemokine receptor type 3, encoded by CCR3 gene; eosinophil eotaxin receptor; alternative coreceptor with CD4 for HIV-1 infection"
CD194,"CC chemokine receptor type 4, encoded by CCR4 gene; high affinity receptor for CCL17, CCL22 and CKLF1 chemokines; could mediate hippocampal-neuron survival"
CD195,"CC chemokine receptor type 5, encoded by CCR5 gene; a beta chemokine receptor to which the natural chemokine ligands RANTES and macrophage inflammatory protein bind. It is commonly used by HIV as a co-receptor to enter its target cells."
CD196,"CC chemokine receptor type 6, encoded by CCR6 gene; receptor for MIP-3-alpha or LARC"
CD197,"CC chemokine receptor type 7, encoded by CCR7 gene; a beta chemokine receptor to which chemokines involved in the migration of T lymphocytes across high endothelial venules bind."
CDw198,"CC chemokine receptor type 8, encoded by CCR8 gene; receptor for CCL1; coreceptor for HIV-1"
CDw199,"CC chemokine receptor type 9, encoded by CCR9 gene; a beta chemokine receptor involved in mucosal immunity. The specific ligand of this receptor is CCL25."
CD200,"Also known as OX-2, a type-1 membrane glycoprotein belonging to the immunoglobulin superfamily. May regulate myeloid cell activity and delivers an inhibitory signal for the macrophage lineage in diverse tissues. CD200 is overexpressed by many different types of hematological and solid tumors. Biotech company Trillium has developed an investigative anti-CD200 monoclonal antibody."
CD201,"Endothelial protein C receptor (EPCR), also known as activated protein C receptor (APC receptor), is a protein encoded by the PROCR gene. Mutations in this gene have been associated with venous thromboembolism, myocardial infarction and late fetal loss during pregnancy. The protein is also involved in Plasmodium falciparum malaria as subtypes of the P. falciparum erythrocyte membrane protein 1 (PfEMP1) family use EPCR of the host as a receptor."
CD202b,"Angiopoietin-1 receptor, TEK or TIE2;&#91;13&#93; encoded by the TEK gene. TEK receptor tyrosine kinase is expressed almost exclusively in endothelial cells. The ligand for the receptor is angiopoietin-1. Defects in TEK are associated with inherited venous malformations; the TEK signaling pathway appears to be critical for endothelial cell-smooth muscle cell communication in venous morphogenesis. TEK is closely related to the TIE receptor tyrosine kinase"
CD203a,"Ectonucleotide pyrophosphatase/phosphodiesterase family member 1 (ENPP1); this protein belongs to a series of ectoenzymes involved in hydrolysis of extracellular nucleotides, notably ATP and NAD, which can contribute to the formation of adenosine in cancer."
CD203c,"Ectonucleotide pyrophosphatase/phosphodiesterase family member 3 (ENPP3); this protein belongs to a series of ectoenzymes involved in hydrolysis of extracellular nucleotides, which possess ATPase and ATP pyrophosphatase activities and are type II transmembrane proteins. Found in uterus, basophils, and mast cells."
CD204,"Macrophage scavenger receptor 1 (MSR1) or SCARA1; able to mediate endocytosis of modified low density lipoproteins (LDLs); group implicated in macrophage-associated physiological and pathological processes including atherosclerosis, Alzheimer's disease and host defense."
CD205,"Also known as Lymphocyte antigen 75 (LY75), a protein that in humans is encoded by the LY75 gene. Also known as DEC-205."
CD206,"Also known as Mannose receptor C-type 1 (MC1) and present on the surface of macrophages, immature dendritic cells, and surface of skin cells such as human dermal fibroblasts and keratinocytes. Additional functions include clearance of glycoproteins from the circulation."
CD207,"Langerin is a type II transmembrane, C-type lectin receptor on Langerhans cells. Also known as C-type lectin domain family 4 member K. Langerin is localized in the Birbeck granules, organelles present in the cytoplasm of Langerhans cells."
CD208,Also known as Lysosome-associated membrane glycoprotein 3 (LAMP3). A protein that in humans is encoded by the LAMP3 gene.
CD209,"DC-SIGN, C-type lectin receptor found on dendritic cell subsets"
CD210,Interleukin-10 receptor subunit alpha (IL10RA gene) is shown to mediate the immunosuppressive signal of interleukin 10 and thus inhibit synthesis of proinflammatory cytokines. Mutations in the gene implicated in forms of inflammatory bowel disease
CDw210a,Interleukin-10 receptor subunit alpha (IL10RA gene) is shown to mediate the immunosuppressive signal of interleukin 10 and thus inhibit synthesis of proinflammatory cytokines. Mutations in the gene implicated in forms of inflammatory bowel disease.&#91;14&#93;
CDw210b,"Interleukin-10 receptor subunit beta (IL10RB gene); required for activation of cytokines: IL10, IL22, IL26, IL28, and IFNL1. Mutation in the gene associated with a form of IBD.&#91;15&#93;"
CD211,not assigned
CD212,"IL12RB1 - Interleukin 12 receptor, beta 1; a subunit of the interleukin 12 receptor. Lack of expression found to result in the immunodeficiency of patients with severe mycobacterial and Salmonella infections"
CD213a1,"IL13RA1 - Interleukin 13 receptor, alpha 1; a subunit of the interleukin 13 receptor. This protein has been shown to bind tyrosine kinase TYK2, and thus may mediate signaling processes that lead to the activation of JAK1, STAT3 and STAT6 induced by IL13 and IL4"
CD213a2,IL13RA2 - Interleukin-13 receptor subunit alpha-2
CD214,not assigned
CD215,"IL15RA - Interleukin 15 receptor, alpha subunit"
CD216,not assigned
CD217,IL17R - Interleukin-17 receptor; a cytokine receptor which binds interleukin 17A.
CD218a,IL18R1 - interleukin-18 receptor 1
CD218b,IL18RAP - Interleukin 18 receptor accessory protein. Variants at IL18RAP have been linked to susceptibility to Coeliac disease.
CD219,not assigned
CD220,"The insulin receptor (INSR) is a transmembrane receptor with intrinsic tyrosine kinase activity whose ligand is insulin. It plays a crucial role in the regulation of various metabolic pathways, as well as regulating aspects of the cell cycle, such as cellular growth, differentiation, and apoptosis. Mutations in the insulin receptor have been found to be associated with both Type 1 and Type 2 Diabetes Mellitus."
CD221,IGF-I-receptor (IGF1R) - insulin-like growth factor 1 receptor
CD222,"IGF2R - Insulin-like growth factor 2 receptor, also called the cation-independent mannose-6-phosphate receptor (CI-MPR)"
CD223,"Lymphocyte Activation Gene 3 (LAG3), an inhibitory (checkpoint) receptor on immune system T-cells. LAG3 is the target of early-stage drugs for cancer and autoimmune disorders; IMP321 is a soluble version of LAG3, developed by Prima, while BMS-986016 (from Bristol Myers) and GSK2831781 (Glaxo) are anti-LAG3 monoclonal antibodies."
CD224,GGT1 - Gamma-glutamyltransferase 1
CD225,IFITM1 - Interferon-induced transmembrane protein 1. IFITM proteins have been identified as antiviral restriction factors for influenza A virus replication
CD226,"A co-stimulatory molecule found on Natural Killer Cells, also potentially responsible for cellular adhesion between a NK cell and its cytolytic target."
CD227,"MUC1 - Mucin 1, cell surface associated or polymorphic epithelial mucin (PEM) is a mucin encoded by the MUC1 gene in humans. The protein serves a protective function by binding to pathogens and also functions in a cell signaling capacity. Used in histopathology, where it is known as EMA (epithelial membrane antigen), to identify various tumours etc."
CD228,Melanotransferrin (MFI2). This protein is a cell-surface glycoprotein found on melanoma cells
CD229,LY9 - T-lymphocyte surface antigen; SLAMF3
CD230,"PRNP - Major prion protein or PrP, for prion protein or protease-resistant protein). More than 20 mutations in the PRNP gene have been identified in people with inherited prion diseases."
CD231,"Tetraspanin-7 - TSPAN7. The associated gene is linked to X-linked mental retardation and neuropsychiatric diseases such as Huntington's chorea, fragile X syndrome and myotonic dystrophy."
CD232,Plexin-C1&#91;16&#93; (PLXNC1 gene); also called Virus-encoded semaphorin protein receptor (VESPR); Receptor for several virus semaphorins.
CD233,"known as SLC4A1 (solute carrier family 4 member 1), anion exchanger 1 (AE1) or band 3 (BND3); present in the principal acid secreting cell of the kidney and red blood cells"
CD234,DARC - Duffy antigen/chemokine receptor; located on the surface of red blood cells; receptor for the human malarial parasites Plasmodium vivax and Plasmodium knowlesi.
CD235a,"Glycophorin A, a protein on blood cells; GYPA"
CD235b,Glycophorin B (MNS blood group); GYPB
CD236,Glycophorin C - GYPC
CD237,not assigned
CD238,Kell blood group - KEL
CD239,LU - Lutheran blood group; Basal cell adhesion molecule (BCAM)
CD240CE,RHCE - Blood group Rh(CE) polypeptide.
CD240D,"RHD - Rh blood group, D antigen, also known as Rh polypeptide 1 (RhPI). The RhD erythrocyte membrane protein is the Rh factor antigen of the Rh blood group system."
CD241,RHAG - Rh-associated glycoprotein is an ammonia transporter protein encoded by the RHAG gene. Mutations in this gene can cause stomatocytosis.
CD242,known as ICAM4 (Intercellular Adhesion Molecule-4) or LW (Landsteiner-Wiener blood group)
CD243,"known as ABCB1 (ATP-binding cassette sub-family B member 1), P-glycoprotein 1 (permeability glycoprotein, P-gp or Pgp) or MDR1 (multidrug resistance protein 1); an important protein of the cell membrane that pumps many foreign substances out of cells."
CD244,"Also known as 2B4, it encodes a cell surface receptor expressed on natural killer (NK) cells (and some T cells) mediating non-major histocompatibility complex (MHC) restricted killing. Thought to modulate NK-cell cytolitic activity."
CD245&#91;17&#93;,not assigned&#160;?
CD246,ALK - Anaplastic lymphoma kinase or ALK tyrosine kinase receptor. ALK plays an important role in the development of the brain. Several ALK-inhibitor drugs are used to treat lung cancer. ALK is also overexpressed in several other tumours.
CD247,CD3-ZETA - T-cell surface glycoprotein CD3 zeta chain
CD248,"Endosialin is a member of the “Group XIV”, a novel family of C-type lectin transmembrane receptors which play a role not only in cell-cell adhesion processes but also in host defence"
CD249,Glutamyl aminopeptidase - ENPEP. The enzyme degrades vasoconstricting angiotensin II into angiotensin III and so helps to regulate blood pressure.
CD250,not assigned
CD251,not assigned
CD252,"OX40L or TNFSF4 (tumor necrosis factor (ligand) superfamily, member 4), the ligand for CD134 (OX40) and expressed on cells such as DC2s (a subtype of dendritic cells) enabling amplification of Th2 cell differentiation. Various single nucleotide polymorphisms (SNPs) of the OX40L gene have been identified, some associated with systemic lupus erythematosus, but not atherosclerosis."
CD253,"TRAIL (TNF-related apoptosis-inducing ligand), or TNFSF10 (tumor necrosis factor (ligand) superfamily, member 10). TRAIL is a cytokine produced by most normal tissue cells, causing apoptosis primarily in tumor cells by binding to certain death receptors. The target of several anti-cancer therapeutics since mid-1990s, but these have not shown significant survival benefit."
CD254,"RANKL (Receptor activator of nuclear factor kappa-B ligand), tumor necrosis factor ligand superfamily member 11 (TNFSF11), TNF-related activation-induced cytokine (TRANCE), osteoprotegerin ligand (OPGL), and osteoclast differentiation factor (ODF). RANKL affects the immune system and controls bone regeneration. Targeted by mAb drug Denosumab to treat osteoporosis."
CD255,not assigned
CD256,APRIL (proliferation-inducing ligand) or TNFSF13 (tumor necrosis factor ligand superfamily member 13); a protein of the TNF superfamily recognized by the cell surface receptor TACI (CD267) - both found to be important for B cell development
CD257,"BAFF (B-cell activating factor) or TNFSF13B (tumor necrosis factor ligand superfamily member 13B). This cytokine is a ligand for receptors TNFRSF13B/TACI (CD267), TNFRSF17/BCMA (CD269), and TNFRSF13C/BAFF-R (CD268). Expressed in B cell lineage cells, and acts as a potent B cell activator"
CD258,"LIGHT (homologous to Lymphotoxin, exhibits Inducible expression and competes with HSV Glycoprotein D for binding to Herpesvirus entry mediator, a receptor expressed on T lymphocytes), or TNFSF14 (tumor necrosis factor superfamily member 14); a secreted protein of the TNF superfamily; recognized by herpesvirus entry mediator, HVEM or CD270, thus aka HVEML. Also interacts with decoy receptor 3, BIRC2, TRAF2 and TRAF3."
CD259,not assigned
CD260,not assigned
CD261,"Death receptor 4 (DR4), TRAIL receptor 1 (TRAILR1) and tumor necrosis factor receptor superfamily member 10A (TNFRSF10A); a cell surface receptor of the TNF-receptor superfamily that binds TRAIL (CD253) and mediates apoptosis."
CD262,"Death receptor 5 (DR5), TRAIL receptor 2 (TRAILR2) and tumor necrosis factor receptor superfamily member 10B (TNFRSF10B); a cell surface receptor of the TNF-receptor superfamily that binds TRAIL (CD253) and mediates apoptosis."
CD263,"Decoy receptor 1 (DCR1), TRAIL receptor 3 (TRAILR3) and tumor necrosis factor receptor superfamily member 10C (TNFRSF10C); a human cell surface receptor of the TNF-receptor superfamily; not capable of inducing apoptosis, and thought to function as an antagonistic receptor that protects cells from TRAIL-induced apoptosis"
CD264,"Decoy receptor 2 (DCR2), TRAIL receptor 4 (TRAILR4) and tumor necrosis factor receptor superfamily member 10D (TNFRSF10D); a human cell surface receptor of the TNF-receptor superfamily; does not induce apoptosis, and plays inhibitory role in TRAIL-induced cell apoptosis"
CD265,"RANK (Receptor Activator of Nuclear Factor κ B), TRANCE Receptor or TNFRSF11A; member of the tumor necrosis factor receptor (TNFR) molecular sub-family. RANK is the receptor for RANK-Ligand (RANKL). It is associated with bone remodeling and repair, immune cell function, lymph node development, thermal regulation, and mammary gland development"
CD266,"TNFRSF12A (Tumor necrosis factor receptor superfamily member 12A), or Tweak-receptor (TweakR). Receptor for TWEAK ligand."
CD267,"Transmembrane activator and CAML interactor (TACI), or tumor necrosis factor receptor superfamily member 13B (TNFRSF13B); a transmembrane protein of the TNF receptor superfamily found predominantly on the surface of B cells, which are an important part of the immune system. TACI recognizes three ligands: APRIL (CD256), BAFF (CD257) and CAML. TACI controls T cell-independent B cell antibody responses, isotype switching and B cell homeostasis. TACI mutations are associated with immunodeficiency; a significant proportion of CVID patients have TACI mutations."
CD268,"BAFF receptor (B-cell activating factor receptor, BAFF-R), or tumor necrosis factor receptor superfamily member 13C (TNFRSF13C). TNFRSF13C is a membrane protein of the TNF receptor superfamily which recognizes BAFF."
CD269,"Also known as B-cell maturation antigen (BCMA or BCM) or tumor necrosis factor receptor superfamily member 17 (TNFRSF17). Protein encoded by the TNFRSF17 gene. This receptor is preferentially expressed in mature B lymphocytes, and may be connected to leukemias and lymphomas. BCMA is brightly expressed on most multiple myeloma cells and hence of interest as a target for CART therapy.&#91;18&#93; Bluebird and Celgene currently have an anti-BCMA early-stage product, bb2121, due to start trials for multiple myeloma in 2016.&#91;19&#93;"
CD270,"Herpesvirus entry mediator (HVEM), or tumor necrosis factor receptor superfamily member 14 (TNFRSF14); a human cell surface receptor of the TNF-receptor superfamily. Binding of HSV viral envelope glycoprotein D (gD) to CD270 shown to be part of viral entry mechanism. Interacts with TRAF2, TNFSF14 (CD258) and TRAF5. BTLA (CD272) is a ligand for HVEM."
CD271,is the p75 Nerve Growth factor receptor (NGFR) or Low-affinity Nerve Growth Factor Receptor (LNGFR) and a member of the tumor necrosis factor receptor (TNF receptor) superfamily. LNGFR has been implicated as a marker for cancer stem cells in melanoma and other cancers. Melanoma cells transplanted into an immunodeficient mouse model were shown to require expression of CD271 in order to grow a melanoma. Thus CD271 is under investigation as a cell marker for melanoma drugs (2016).&#91;20&#93;
CD272,"BTLA (B- and T-lymphocyte attenuator); expression induced during activation of T cells. Like PD1 and CTLA4, BTLA interacts with a B7 homolog, B7H4. However, unlike PD-1 (CD279) and CTLA-4 (CD152), BTLA displays T-Cell inhibition via interaction with tumor necrosis family receptors (TNF-R), not just the B7 family of cell surface receptors. BTLA is a ligand for HVEM (CD270). BTLA-HVEM complexes negatively regulate T-cell immune responses. BTLA activation inhibits the function of CD8+ cancer-specific T cells."
CD273,"PDL2 or PDCD1LG2 (Programmed Cell Death 1 Ligand 2); on Dendritic cells, Macrophages etc. Ligand for PD-1 (CD279)"
CD274,"PDL1 or PDCD1L1 (Programmed Cell Death 1 Ligand 1); expressed on T cells, NK cells, macrophages, myeloid DCs, B cells, epithelial cells, and vascular endothelial cells and others. Ligand for PD1 (CD279) and also CD80 (B7-1). Formation of PD1/PDL1 or B7-1/PDL1 complexes transmit an inhibitory signal reducing proliferation of CD8+ T cells at lymph nodes. Anti-PDL1 drugs like Atezolizumab, currently in trials for bladder cancer, work by preventing the inhibition of T-cells."
